leaf_length,leaf_width,leaf_thickness,,Type of Leaves
7.1,4.5,1.4,,aloevera
6.9,4,1.4,,aloevera
6.7,4.2,1.3,,aloevera
6.6,4.1,1.5,,aloevera
7,4.6,1.4,,aloevera
7.4,4.9,1.7,,aloevera
6.6,4.4,1.4,,aloevera
7,4.4,1.5,,aloevera
6.4,3.9,1.4,,aloevera
6.7,4.2,1.6,,aloevera
6.8,4.1,1.6,,aloevera
7.4,4.4,1.5,,aloevera
7.2,5.1,1.5,,aloevera
7.5,5.2,1.4,,aloevera
6.9,4.1,1.5,,aloevera
7,4.2,1.2,,aloevera
7.5,4.5,1.3,,aloevera
6.9,4.1,1.5,,aloevera
6.4,4,1.3,,aloevera
7.1,4.4,1.5,,aloevera
7,4.5,1.3,,aloevera
6.5,3.3,1.3,,aloevera
6.4,4.2,1.3,,aloevera
7,4.5,1.6,,aloevera
7.1,4.8,1.9,,aloevera
6.8,4,1.4,,aloevera
7.1,4.8,1.6,,aloevera
6.6,4.2,1.4,,aloevera
7.3,4.7,1.5,,aloevera
7,4.3,1.4,,aloevera
9,4.2,4.7,,mango leaves
8.4,4.2,4.5,,mango leaves
8.9,4.1,4.9,,mango leaves
7.5,3.3,4,,mango leaves
8.5,3.8,4.6,,mango leaves
7.7,3.8,4.5,,mango leaves
8.3,4.3,4.7,,mango leaves
6.9,3.4,3.3,,mango leaves
8.6,3.9,4.6,,mango leaves
7.7,3.6,3.5,,mango leaves
7.5,3.4,3.8,,mango leaves
7.5,3.4,3.7,,mango leaves
7.8,3.7,3.9,,mango leaves
8,3.7,5.1,,mango leaves
7.4,4,4.5,,mango leaves
8,4.4,4.5,,mango leaves
8.7,4.1,4.7,,mango leaves
8.3,3.3,4.4,,mango leaves
7.6,4,4.1,,mango leaves
7.5,3.5,4,,mango leaves
7.5,3.6,4.4,,mango leaves
8.1,4,4.6,,mango leaves
7.8,3.6,4,,mango leaves
7,3.3,3.3,,mango leaves
7.6,3.7,4.2,,mango leaves
7.7,4,4.2,,mango leaves
7.7,3.9,4.2,,mango leaves
8.2,3.9,4.3,,mango leaves
7.1,3.5,3,,mango leaves
7.7,3.8,4.1,,mango leaves
8.3,4.3,6,,neem
7.8,3.7,5.1,,neem
9.1,4,5.9,,neem
8.3,3.9,5.6,,neem
8.5,4,5.8,,neem
9.6,4,6.6,,neem
6.9,3.5,4.5,,neem
9.3,3.9,6.3,,neem
8.7,3.5,5.8,,neem
9.2,4.6,6.1,,neem
8.5,4.2,5.1,,neem
8.4,3.7,5.3,,neem
8.8,4,5.5,,neem
7.7,3.5,5,,neem
7.8,3.8,5.1,,neem
8.4,4.2,5.3,,neem
8.5,4,5.5,,neem
9.7,4.8,6.7,,neem
9.7,3.6,6.9,,neem
8.9,4.1,5.4,,neem
8.7,4.1,5.6,,neem
8.9,4.1,5.1,,neem
7.8,3.7,5.1,,neem
8.8,4.2,5.9,,neem
8.7,4.3,5.7,,neem
8.7,4,5.2,,neem
8.3,3.5,5,,neem
8.5,4,5.2,,neem
8.2,4.4,5.4,,neem
7.9,4,5.1,,neem
